1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
1 2 3 4
67 10 34 2
56 88 11 23
78 23 1 2
0 2 1 78
